,ANC prev,Gen prev (age 15-49),
area,mean,mean,ANC multiplier
Botswana,0.164573217,0.157418236,1.04545205
Congo,0.040113928,0.032341157,1.24033684
Cote D'ivoire,0.010964254,0.016754555,0.654404364
Eswatini,0.276514933,0.233803416,1.182681323
Ghana,0.017212499,0.01489827,1.155335433
Kenya,0.029616358,0.030294226,0.977623844
Lesotho,0.178775017,0.171280699,1.043754595
Malawi,0.047901296,0.062450934,0.767022893
Mozambique,0.052304594,0.114636411,0.456265102
Nigeria,0.010294532,0.011598611,0.887565879
South Africa,0.212886764,0.173203756,1.229111706
Uganda,0.039268289,0.049370921,0.795372838
United Republic of Tanzania,0.02523607,0.035404254,0.712797683
Zambia,0.062202802,0.093855269,0.662752373
Zimbabwe,0.088916427,0.097834817,0.908842367
