"","country","total_population","hiv_prevalence","new_infections_per_year","current_diagnoses","percent_diagnosed","plhiv","percent_on_art","percent_suppressed","aids_deaths_per_year","prop_male","prop_under14","birth_rate","percent_on_art_pregnant","circ_prevalence","fsw_pse_prop","fsw_prevalence","msm_pse_prop","msm_prevalence","prop_agyw","rr_fsw","rr_msm","rr_agyw","avg_test_yield","total_tests_prev_year","prop_retest","ANC_multiplier","use_mortality_calibration","bf_duration_months","art_cost_standard","cost_test_network","cost_test_facility_general","cost_test_index","cost_test_community","cost_test_kpsti","cost_hivst_facility","cost_hivst_community","cost_anc_hiv_testing","cost_pnc_hiv_testing"
"1","Botswana",2562122,19.1,4159,4039,97.1,358974.0747,98,98,3759,49.8216908399792,31.9566554598103,24.713,98,44.1,0.019,0.501,0.008,0.169,0.284187802560712,5.3,4,2.5,2.08145463480558,406975,0.299174137787053,1.04545205,"FALSE",18,221.82,8.354250614,5.974255528,5.974255528,8.354250614,8.354250614,7.048268156,7.347542998,5.186339066,5.186339066
"2","Côte d'Ivoire",32711547,2.1,8209,6991,85.2,406961.4838,91.7,89,8366,50.8333082147814,40.4553985241878,31.99,88,97,0.009,0.069,0.006,0.104,0.32331789373349,5.3,4,2.5,1.37,2306555,0.576942691240819,NA,"FALSE",19,144.28,3.771658477,2.83542629,2.83542629,3.771658477,3.771658477,3.985865922,4.103593366,2.525479115,2.525479115
"3","Eswatini",1256174,26.2,4220,4220,98,221898.1945,95.5,98,2861,49.1170013071438,32.9958668146292,24.073,98,29.3,0.014,0.617,0.007,0.244,0.290268055158315,5.3,4,2.5,3.13840648944341,213516,0.183897607169881,1.182681323,"FALSE",17,156.12,5.608808354,4.093775184,4.093775184,5.608808354,5.608808354,5.213575419,5.404084767,3.592211302,3.592211302
"4","Ghana",35064272,1.5,15290,10397,68,334720.6877,68.9,89.5,12614,49.9351006079607,35.4296770309437,26.31,98,95.8,0.004,0.08,0.007,0.261,0.294872183726141,5.3,4,2.5,2.54208889572625,2151577,0.676722688697515,1.155335433,"FALSE",20,133.02,3.819643735,2.868293612,2.868293612,3.819643735,3.819643735,4.017932961,4.137561425,2.553341523,2.553341523
"5","Kenya",57532493,3.6,19991,19301,96.6,1325971.39972,90.2,94.8,20849,49.7050536243068,36.2577929332716,27.106,90,94.2,0.016,0.256,0.006,0.121,0.336414770705163,5.3,4,2.5,1.17893605038892,6845155,0.803764038813506,0.977623844,"FALSE",20,129.11,3.518022113,2.661699017,2.661699017,3.518022113,3.518022113,3.816368715,3.924047912,2.378206388,2.378206388
"6","Lesotho",2363325,19.5,3174,3065,96.6,262243.3198,97.1,98,3956,48.7519490548274,34.1020668130847,24.109,94,89.7,0.011,0.574,0.007,0.292,0.289971295682063,5.3,4,2.5,8.09508325204066,119937,NA,1.043754595,"FALSE",16,107.88,1.876240786,1.537167076,1.537167076,1.876240786,1.876240786,2.719217877,2.761855037,1.424914005,1.424914005
"7","Malawi",22216120,7.3,11757,11194,95.2,990871.2627,95,94.9,13694,48.8111807467362,40.1264766333292,31.381,96,27.8,0.013,0.426,0.007,0.127,0.354283836517599,5.3,4,2.5,1.61440440660068,3992556,0.747131709573691,0.767022893,"FALSE",22,101.9,1.413525799,1.220232187,1.220232187,1.413525799,1.413525799,2.41,2.41,1.156240786,1.156240786
"8","Mozambique",35631653,11.9,91525,79935,87.3,2477359.843,93.8,91.3,44044,48.5544692523807,44.1685262258251,37.486,82,74.6,0.012,0.351,0.008,0.136,0.345463508911739,5.3,4,2.5,2.50818995782198,12805011,0.665001450431301,0.456265102,"FALSE",21,101.9,1.41009828,1.217884521,1.217884521,1.41009828,1.41009828,2.407709497,2.431879607,1.154250614,1.154250614
"9","Nigeria",237527782,1.3,48098,40238,83.7,1956226.599,98,95.2,42176,50.5952337423638,40.5197233739162,32.954,NA,98.9,0.017,0.138,0.007,0.14,0.345968095597786,5.3,4,2.5,1.01904075045544,12438953,NA,0.887565879,"FALSE",18,151.94,4.224090909,3.145318182,3.145318182,4.224090909,4.224090909,4.288212291,4.423863636,2.788181818,2.788181818
"10","South Africa",64747319,16.8,166536,158753,95.3,7833400.57,84.5,92.3,53299,48.6570332177455,25.7233845796504,18.775,97.3,NA,0.012,0.588,0.008,0.329,0.21049561593516,5.3,4,2.5,2.1334756985282,17530502,NA,1.229111706,"TRUE",11,166.1,6.152552,4.392859,4.392859,6.152552,6.152552,5.728938547,5.95,3.813174,3.813174
"11","Uganda",51384894,5.5,36648,34571,94.3,1527238.241,89.8,96.5,20335,49.6169905497908,43.1111622026505,35.201,98,45.9,0.012,0.334,0.007,0.105,0.376752257598567,5.3,4,2.5,1.40216745638422,10147932,0.669040451326838,0.795372838,"FALSE",20,112.29,2.215565111,1.769585995,1.769585995,2.215565111,2.215565111,2.945977654,3.00205774,1.621941032,1.621941032
"12","United Republic of Tanzania",70545865,4.2,43208,38902,90,1759632.551,96.5,98,25995,49.5810420639112,42.3404922457184,35.222,97.7,85.9,0.011,0.272,0.007,0.118,0.342846802845126,5.3,4,2.5,1.16350394873183,14422985,NA,0.712797683,"FALSE",20,120.74,2.380085995,1.882273956,1.882273956,2.380085995,2.380085995,3.055921788,3.118519656,1.717469287,1.717469287
"13","Zambia",21913874,10.7,30400,28957,95.3,1389757.752,98,97.5,16373,49.5037025402263,40.9710213721225,33.081,98,31.8,0.014,0.45,0.008,0.146,0.349316459853491,5.3,4,2.5,2.0277590525929,5883342,0.708758524335,0.662752373,"FALSE",19,150.03,2.428071253,1.915141278,1.915141278,2.428071253,2.428071253,3.087988827,3.152487715,1.745331695,1.745331695
"14","Zimbabwe",16950795,11.4,14987,14256,95.1,1295674.547,98,96.1,16723,47.7137915950255,40.2835855191453,30.41,93,21.8,0.012,0.48,0.007,0.157,0.330587810396117,5.3,4,2.5,3.60259447270444,1905127,NA,0.908842367,"FALSE",18,130.18,3.600282555,2.718042998,2.718042998,3.600282555,3.600282555,3.871340782,3.98227887,2.425970516,2.425970516
