Region,Year,Sex,enroll_n,enrollage_mean,enrollage_sd,enrollage_median,enrollage_p25,enrollage_p75
AP,ALL,ALL,43283,36.8240648753552,10.2713285753806,35,29,43
AP,2006,ALL,2827,35.3937035726919,9.07624400344368,34,29,40
AP,2007,ALL,3796,35.6269757639621,8.78635002081146,35,30,40
AP,2008,ALL,3483,36.1894918173988,9.16967718758108,35,30,41
AP,2009,ALL,2996,36.347129506008,9.10170662809034,35,30,41
AP,2010,ALL,3177,36.4331129996852,9.61769262850285,35,29,42
AP,2011,ALL,3070,36.6153094462541,9.57695385362057,35,30,42
AP,2012,ALL,2536,37.0745268138801,10.0444164365659,36,30,43
AP,2013,ALL,2451,37.4920440636475,10.0827311423783,36,30,43
AP,2014,ALL,2230,38.0192825112108,10.6872454065372,37,30,45
AP,2015,ALL,2556,36.8947574334898,10.835519790891,36,28,44
AP,2016,ALL,2377,36.9545645771981,10.546096764952,36,29,44
AP,2017,ALL,2589,36.7045191193511,11.0528965118079,35,28,44
AP,2018,ALL,2178,37.2676767676768,11.2966624158809,36,28,45
AP,2019,ALL,2215,37.3480812641084,11.4587479224404,36,28,45
AP,2020,ALL,1528,37.5039267015707,11.4948801689315,36,28,45
AP,2021,ALL,1385,38.7545126353791,12.4083499732166,37,29,47
AP,2022,ALL,1369,38.327246165084,11.5454667478396,37,29,46
AP,2023,ALL,520,38.9269230769231,13.0237091547767,37,29,48
AP,ALL,Male,29094,37.2682683714855,10.3784059859308,36,30,43
AP,ALL,Female,14189,35.9132426527592,9.986960069005,35,28,42
AP,2006,Male,1805,36.9434903047091,9.04056625127068,35,31,42
AP,2006,Female,1022,32.6565557729941,8.476761520356,31,26,37
AP,2007,Male,2371,36.8878110501898,8.65387300770477,36,31,41
AP,2007,Female,1425,33.5291228070175,8.60514288851019,32,27,38
AP,2008,Male,2268,37.3959435626102,8.99375960393155,36,31,42
AP,2008,Female,1215,33.9374485596708,9.07325332719665,32,28,38
AP,2009,Male,1859,37.9311457772996,8.93575884556661,37,32,42
AP,2009,Female,1137,33.7572559366755,8.77441275664938,32,27,39
AP,2010,Male,1984,37.9349798387097,9.65163800539514,37,31,43
AP,2010,Female,1193,33.9354568315172,9.02727179460737,32,27,39
AP,2011,Male,1869,38.1471375066881,9.8116779497355,37,31,44
AP,2011,Female,1201,34.2314737718568,8.68147694286634,32,28,39
AP,2012,Male,1658,37.8190591073583,10.2914592069567,37,30,44
AP,2012,Female,878,35.6685649202733,9.4067197645902,35,29,40
AP,2013,Male,1580,38.05,10.2844610616546,37,30,44
AP,2013,Female,871,36.4799081515499,9.6296595464253,35,29,41
AP,2014,Male,1498,38.1789052069426,10.817550912839,37,30,45
AP,2014,Female,732,37.6926229508197,10.4151736201338,37,30,45
AP,2015,Male,1844,36.4202819956616,11.0964127166471,35,28,43
AP,2015,Female,712,38.123595505618,10.0322352172183,37,31,45
AP,2016,Male,1751,36.5151342090234,10.6634582689391,35,28,43
AP,2016,Female,626,38.1837060702875,10.1180135443212,37,31,44
AP,2017,Male,1869,36.0074906367041,10.948387166505,34,27,43
