Region,Year,Sex,artstart_n,recartage_mean,recartage_sd,recartage_median,recartage_p25,recartage_p75
AP,ALL,ALL,34047,37.559638147267,10.2859353335462,36,30,44
AP,2006,ALL,1026,36.7992202729045,8.92891381022669,35,31,41
AP,2007,ALL,1733,36.5389497980381,8.6392486444854,35,30,41
AP,2008,ALL,1949,37.4089276552078,9.15918667478349,36,31,42
AP,2009,ALL,1856,37.2505387931034,9.16928246644402,36,31,42
AP,2010,ALL,2288,37.4326923076923,9.69828249020913,36,30,43
AP,2011,ALL,2326,37.3860705073087,9.58487403082871,36,30,43
AP,2012,ALL,2083,37.5343254920787,9.70952511047524,37,31,43
AP,2013,ALL,2536,38.2105678233439,9.48661585537797,37,31,44
AP,2014,ALL,2015,38.5483870967742,10.0926451304368,38,31,45
AP,2015,ALL,2837,37.6242509693338,10.4796035952636,36,30,44
AP,2016,ALL,2367,37.1360371778623,10.3420412600945,36,29,44
AP,2017,ALL,2604,37.2277265745008,10.8529435742752,36,29,44
AP,2018,ALL,2103,37.5078459343795,11.2892010856515,36,29,45
AP,2019,ALL,1910,37.2507853403141,11.3402280417441,36,28,45
AP,2020,ALL,1348,37.6194362017804,11.8847400416915,36,28,46
AP,2021,ALL,1246,38.6982343499197,12.1036532742303,37,29,47
AP,2022,ALL,1296,38.3032407407407,11.371094777518,37,29,46
AP,2023,ALL,524,38.3988549618321,12.3250773688113,36,29,46.25
AP,ALL,Male,23330,37.786969567081,10.4314143017971,37,30,44
AP,ALL,Female,10717,37.0647569282448,9.94441934831021,36,30,43
AP,2006,Male,699,38.0257510729614,8.72827113585738,36,32,43
AP,2006,Female,327,34.177370030581,8.79969891743485,33,28,38
AP,2007,Male,1138,37.6151142355009,8.56582048573276,37,32,42
AP,2007,Female,595,34.4806722689076,8.40940307949109,33,28,39
AP,2008,Male,1340,38.5813432835821,8.79201779936685,37,33,44
AP,2008,Female,609,34.8292282430213,9.42597891548956,33,28,40
AP,2009,Male,1187,38.8079191238416,8.93588770102097,38,33,44
AP,2009,Female,669,34.4872944693573,8.93012981805694,33,28,40
AP,2010,Male,1500,38.9386666666667,9.67615575606859,37,32,44
AP,2010,Female,788,34.5659898477157,9.07973773109456,33,28,39.25
AP,2011,Male,1444,38.8691135734072,9.65985119974575,38,32,44
AP,2011,Female,882,34.9580498866213,8.95007262830822,33,29,40
AP,2012,Male,1309,38.524064171123,10.06874277273,38,31,44
AP,2012,Female,774,35.8604651162791,8.82670080672172,34,30,40
AP,2013,Male,1574,38.8259212198221,9.74761947610175,38,32,44
AP,2013,Female,962,37.2037422037422,8.95752879367738,36,31,42
AP,2014,Male,1336,39.1601796407186,10.3903485018635,39,32,46
AP,2014,Female,679,37.3446244477172,9.3710278018885,36,31,43
AP,2015,Male,2037,37.2965144820815,10.7492153789784,36,29,44
AP,2015,Female,800,38.45875,9.71616195786635,37,31,45
AP,2016,Male,1694,36.6511216056671,10.5118506204473,36,28,44
AP,2016,Female,673,38.3566121842496,9.80360820023528,37,31,44
AP,2017,Male,1843,36.4774823657081,10.7620047738578,35,28,43
AP,2017,Female,761,39.0446780551905,10.8643841680126,38,31,45
AP,2018,Male,1518,36.5737812911726,11.3205012483445,34,28,44
AP,2018,Female,585,39.9316239316239,10.8477370404811,39,32,47
AP,2019,Male,1423,36.5031623330991,11.3026929992908,35,27,44
AP,2019,Female,487,39.435318275154,11.1773684231857,39,31,46
AP,2020,Male,1036,37.0376447876448,12.1321838862004,34,28,45
AP,2020,Female,312,39.5512820512821,10.8190583728221,40,31,47
AP,2021,Male,930,37.9215053763441,12.2414386458892,35,28,46
AP,2021,Female,316,40.9841772151899,11.4038312812977,41,32.75,49
AP,2022,Male,934,37.6263383297645,11.5894670772707,36,28,46
AP,2022,Female,362,40.0497237569061,10.6045911988212,40,33,47
AP,2023,Male,388,37.3582474226804,11.5971576763956,34.5,28.75,46
AP,2023,Female,136,41.3676470588235,13.81883246584,41,30,48.25
CA,ALL,ALL,42459,38.1328575802539,10.1062884409122,37,31,45
CA,2006,ALL,1480,37.6256756756757,8.92621032580323,36,31,43
CA,2007,ALL,2406,37.5561097256858,9.35961877937514,37,31,43
CA,2008,ALL,2259,37.2058432934927,9.24499919566137,36,30,43
CA,2009,ALL,2334,37.3106255355613,9.15475831825817,36,30,43
CA,2010,ALL,2964,37.7044534412955,9.47549731395678,36,31,44
CA,2011,ALL,3216,37.0945273631841,9.42811492650409,36,30,43
CA,2012,ALL,2874,37.4154488517745,9.48569469168406,36,30,43
CA,2013,ALL,3948,39.2905268490375,10.2857546316041,38,32,46
CA,2014,ALL,2878,37.9322446143155,10.0201012377453,37,30,44
CA,2015,ALL,3167,38.7445532049258,10.5566836786686,38,31,45
CA,2016,ALL,4536,39.1847442680776,10.4609230779849,38,31,46
CA,2017,ALL,3176,38.0494332493703,10.4015934421311,37,30,45
CA,2018,ALL,2355,38.32016985138,10.7909106141594,37,30,45
CA,2019,ALL,1511,38.2250165453342,11.1908043604928,37,29,45
CA,2020,ALL,1250,38.2776,11.5315792542078,37,29,45
CA,2021,ALL,1049,38.1572926596759,10.8473554799126,37,29,46
CA,2022,ALL,772,39.2422279792746,10.9566829790708,38,31,47
CA,2023,ALL,284,40.7464788732394,11.9053609801085,40.5,32,48
CA,ALL,Male,15317,40.5871907031403,9.9051350635838,40,33,47
