Region,Year,Sex,Age,enroll_n,enroll_byyear,enroll_percbyyear,cd4_enroll_n,cd4_enr_0_200,cd4_enr_201_350,cd4_enr_351_500,cd4_enr_501_up,cd4_enr_median,cd4_enr_p25,cd4_enr_p75,enroll_3mo_n,cd4_enroll_perc
AP,ALL,ALL,ALL,43283,43283,100,24623,11250,5642,3764,3967,227,81,406,36102,68.2
AP,2006,ALL,ALL,2827,2827,100,1738,759,377,273,329,236,86,432,2404,72.3
AP,2007,ALL,ALL,3796,3796,100,2268,951,502,408,407,253,98,424,3229,70.2
AP,2008,ALL,ALL,3483,3483,100,1604,656,378,264,306,256,108,438,2546,63
AP,2009,ALL,ALL,2996,2996,100,1641,724,363,286,268,244,91,425,2363,69.4
AP,2010,ALL,ALL,3177,3177,100,1915,929,407,272,307,212,72,399,2600,73.7
AP,2011,ALL,ALL,3070,3070,100,1853,888,411,275,279,209,74,395,2432,76.2
AP,2012,ALL,ALL,2536,2536,100,1438,675,302,217,244,221,77,414,2027,70.9
AP,2013,ALL,ALL,2451,2451,100,1423,644,342,205,232,229,72,400,1984,71.7
AP,2014,ALL,ALL,2230,2230,100,1193,556,266,165,206,226,81,423,1833,65.1
AP,2015,ALL,ALL,2556,2556,100,1475,630,359,243,243,241,92,409,2243,65.8
AP,2016,ALL,ALL,2377,2377,100,1425,707,311,200,207,203,62,381,2046,69.6
AP,2017,ALL,ALL,2589,2589,100,1415,684,337,202,192,209,69,378,2287,61.9
AP,2018,ALL,ALL,2178,2178,100,1192,546,296,188,162,224,84,379,1894,62.9
AP,2019,ALL,ALL,2215,2215,100,1270,584,328,184,174,227,78,377,1950,65.1
AP,2020,ALL,ALL,1528,1528,100,942,399,237,157,149,245,82,415,1340,70.3
AP,2021,ALL,ALL,1385,1385,100,770,390,168,96,116,198,67,389,1211,63.6
AP,2022,ALL,ALL,1369,1369,100,787,385,197,93,112,203,74,360,1240,63.5
AP,2023,ALL,ALL,520,520,100,274,143,61,36,34,184,59,351,473,57.9
AP,ALL,Male,ALL,29094,43283,67.2,16637,8141,3790,2415,2291,206,71,378,24332,68.4
AP,ALL,Female,ALL,14189,43283,32.8,7986,3109,1852,1349,1676,273,110,460,11770,67.9
AP,ALL,ALL,20-49,38048,43283,87.9,21748,9742,4993,3388,3625,233,82,413,31854,68.3
AP,ALL,ALL,50+,5235,43283,12.1,2875,1508,649,376,342,185,72,350,4248,67.7
AP,2006,Male,ALL,1805,2827,63.8,1072,509,224,167,172,215,73,412,1513,70.9
AP,2006,Female,ALL,1022,2827,36.2,666,250,153,106,157,292,120,490,891,74.7
AP,2007,Male,ALL,2371,3796,62.5,1362,652,290,230,190,214,84,397,1975,69
AP,2007,Female,ALL,1425,3796,37.5,906,299,212,178,217,308,137,482,1254,72.2
AP,2008,Male,ALL,2268,3483,65.1,1063,484,246,161,172,227,86,407,1632,65.1
AP,2008,Female,ALL,1215,3483,34.9,541,172,132,103,134,316,159,494,914,59.2
AP,2009,Male,ALL,1859,2996,62,1022,509,225,159,129,202,78,381,1449,70.5
AP,2009,Female,ALL,1137,2996,38,619,215,138,127,139,304,132,478,914,67.7
AP,2010,Male,ALL,1984,3177,62.4,1169,653,225,151,140,163,58,350,1598,73.2
AP,2010,Female,ALL,1193,3177,37.6,746,276,182,121,167,282,116,478,1002,74.5
AP,2011,Male,ALL,1869,3070,60.9,1117,632,238,125,122,164,60,322,1489,75
AP,2011,Female,ALL,1201,3070,39.1,736,256,173,150,157,300,131,472,943,78
AP,2012,Male,ALL,1658,2536,65.4,954,490,197,130,137,190,67,377,1350,70.7
AP,2012,Female,ALL,878,2536,34.6,484,185,105,87,107,279,106,473,677,71.5
AP,2013,Male,ALL,1580,2451,64.5,915,444,218,121,132,208,64,372,1290,70.9
AP,2013,Female,ALL,871,2451,35.5,508,200,124,84,100,264,98,428,694,73.2
