iso3,country,fsw_pse_prop,fsw_prevalence,msm_pse_prop,msm_prevalence
AGO,Angola,0.018,0.129,0.009,0.047
BDI,Burundi,0.012,0.132,0.006,0.041
BEN,Benin,0.011,0.117,0.006,0.096
BFA,Burkina Faso,0.007,0.092,0.005,0.074
BWA,Botswana,0.019,0.501,0.008,0.169
CAF,Central African Republic,0.02,0.132,0.007,0.158
CIV,Ivory Coast,0.009,0.069,0.006,0.104
CMR,Cameroon,0.018,0.174,0.008,0.18
COD,Congo - Kinshasa,0.014,0.084,0.007,0.111
COG,Congo,0.016,0.114,0.008,0.22
ERI,Eritrea,0.013,0.132,0.007,0.042
ETH,Ethiopia,0.012,0.141,0.006,0.054
GAB,Gabon,0.019,0.119,0.009,0.161
GHA,Ghana,0.004,0.08,0.007,0.261
GIN,Guinea,0.011,0.09,0.005,0.102
GMB,Gambia,0.01,0.122,0.006,0.174
GNB,Guinea-Bissau,0.01,0.145,0.005,0.165
GNQ,Equatorial Guinea,0.018,0.148,0.009,0.197
KEN,Kenya,0.016,0.256,0.006,0.121
LBR,Liberia,0.011,0.095,0.006,0.147
LSO,Lesotho,0.011,0.574,0.007,0.292
MLI,Mali,0.008,0.104,0.006,0.112
MOZ,Mozambique,0.012,0.351,0.008,0.136
MWI,Malawi,0.013,0.426,0.007,0.127
NAM,Namibia,0.018,0.356,0.009,0.144
NER,Niger,0.01,0.102,0.006,0.062
NGA,Nigeria,0.017,0.138,0.007,0.14
RWA,Rwanda,0.011,0.275,0.006,0.063
SEN,Senegal,0.008,0.08,0.005,0.227
SLE,Sierra Leone,0.011,0.096,0.006,0.061
SSD,South Sudan,0.018,0.215,0.006,0.075
SWZ,Eswatini,0.014,0.617,0.007,0.244
TCD,Chad,0.022,0.139,0.007,0.084
TGO,Togo,0.011,0.126,0.007,0.184
TZA,Tanzania,0.011,0.272,0.007,0.118
UGA,Uganda,0.012,0.334,0.007,0.105
ZAF,South Africa,0.012,0.588,0.008,0.329
ZMB,Zambia,0.014,0.45,0.008,0.146
ZWE,Zimbabwe,0.012,0.48,0.007,0.157
