chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Progress towards 95-95-95","Percent of people living with HIV who know their status","85.1653175538181","74.73582824493391","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people who know their status who are on ART","91.65525933751587","80.4310007449496","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people on ART who achieve viral suppression","89.02585673440574","78.12359924580382","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","150313.0015",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","180810.0054",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","215525.9854",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","239778",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","257807",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","270515",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","279404",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","283367",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","296482",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","309030",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","127993.29849999998",,,,,"15+","2015","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","108252.53459999998",,,,,"15+","2016","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","82700.47460000002",,,,,"15+","2017","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","67072.96000000002",,,,,"15+","2018","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","56262.23999999999",,,,,"15+","2019","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","47755.69",,,,,"15+","2020","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
