chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Progress towards 95-95-95","Percent of people living with HIV who know their status","92.08981314535359","76.45175335038066","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people who know their status who are on ART","100","82.9961571244788","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people on ART who achieve viral suppression","100","81.67434297282328","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","49636",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","52017",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","54186",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","56781",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","59325",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","60645",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","61296",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","63769",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","66747",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","69166",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","2018",,,,,"15+","2015","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","1082",,,,,"15+","2016","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","578",,,,,"15+","2017","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","464",,,,,"15+","2018","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","356",,,,,"15+","2019","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","306",,,,,"15+","2020","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","67",,,,,"15+","2021","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
