chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Progress towards 95-95-95","Percent of people living with HIV who know their status","80.12513805603304","72.30468428077336","89.6207675457899",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people who know their status who are on ART","95.09964869630052","85.81763777269192","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people on ART who achieve viral suppression","94.99725317411438","85.72523636073053","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","6980.94479",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","7835.63612",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","8674.55082",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","9497.50002",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","10304.57295",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","11095.76961",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","14504.28",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","15174",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","16242",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","17210",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","4348.05521",,,,,"15+","2015","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","4040.36388",,,,,"15+","2016","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","4805.44918",,,,,"15+","2017","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","5516.4999800000005",,,,,"15+","2018","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","5400.42705",,,,,"15+","2019","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","5530.230390000001",,,,,"15+","2020","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","2754.7199999999993",,,,,"15+","2021","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","1578",,,,,"15+","2022","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","970",,,,,"15+","2023","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","861",,,,,"15+","2024","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","7621.692790000001",,,,,"15+","2015","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","7431.923449999998",,,,,"15+","2016","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","6195.698810000002",,,,,"15+","2017","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","5061.387309999998",,,,,"15+","2018","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","4747.12801",,,,,"15+","2019","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","4201.535199999998",,,,,"15+","2020","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","4016.9701400000013",,,,,"15+","2021","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","4975.255679999998",,,,,"15+","2022","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","5018.82661",,,,,"15+","2023","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","4664.51728",,,,,"15+","2024","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","11329",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","11876",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","13480",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","15014",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","15705",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","16626",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","17259",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","People living with HIV who know their status","16752",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
