chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Progress towards 95-95-95","Percent of people living with HIV who know their status","62.027723388731076","51.469506663837265","71.92452635603254",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people who know their status who are on ART","65.1345025774723","54.047457028338215","75.52700617281245",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people on ART who achieve viral suppression",,,,,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","12475",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","17887",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","24677",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","33493",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","42882",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","47776",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","56160",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","67826",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","75104",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","87718",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","19609",,,,,"15+","2016","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","23488",,,,,"15+","2017","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","25365",,,,,"15+","2018","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","28051",,,,,"15+","2019","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","30348",,,,,"15+","2020","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","32619",,,,,"15+","2021","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","34885",,,,,"15+","2022","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","43768",,,,,"15+","2023","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
