chart,indicator,value,value_lower,value_upper,value_comment,sex,age,year,source_database,notes
"Progress towards 95-95-95","Percent of people living with HIV who know their status","100","90.80989033401356","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people who know their status who are on ART","95.53215177856188","88.40675223276389","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"Progress towards 95-95-95","Percent of people on ART who achieve viral suppression","100","91.07735497934","100",,,"all ages","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","139211",,,,,"15+","2015","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","161775",,,,,"15+","2016","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","164235",,,,,"15+","2017","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","168602",,,,,"15+","2018","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","183220",,,,,"15+","2019","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","196354",,,,,"15+","2020","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","192728",,,,,"15+","2021","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","194758.55",,,,,"15+","2022","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","197391",,,,,"15+","2023","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status on ART","203150.85",,,,,"15+","2024","Spectrum estimates 2025 (UNAIDS/WHO)",
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","54762.23000000001",,,,,"15+","2015","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","38273.03",,,,,"15+","2016","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","41508.06",,,,,"15+","2017","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","40648.23000000001",,,,,"15+","2018","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","29033.100000000006",,,,,"15+","2019","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","16338.25",,,,,"15+","2020","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","18921.47",,,,,"15+","2021","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","18194.930000000022",,,,,"15+","2022","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","14733.609999999986",,,,,"15+","2023","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","PLHIV know status not on ART","9204.399999999994",,,,,"15+","2024","(calculated)","based on People living with HIV who know their status and PLHIV know status on ART indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","13564.315299999987",,,,,"15+","2015","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","10008.194099999993",,,,,"15+","2016","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","7008.836700000014",,,,,"15+","2017","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
"PLHIV by diagnosis and treatment status","Undiagnosed PLHIV","6383.702799999999",,,,,"15+","2018","(calculated)","based on People living with HIV - adults (aged 15+) and People living with HIV who know their status indicator values"
